0x00,108
0x01,1
0x02,14
0x03,1
0x04,8
0x05,1
0x06,19
0x07,1
0x08,5
0x09,1
0x0a,37
0x0b,1
0x0c,12
0x0d,1
0x0e,23
0x0f,1
0x10,19
0x11,1
0x12,13
0x13,1
0x14,6
0x15,1
0x16,15
0x17,1
0x18,23
0x19,1
0x1a,9
0x1b,1
0x1c,7
0x1d,1
0x1e,17
0x1f,1
0x20,4
0x21,0
0x22,13
0x23,0
0x24,21
0x25,0
0x26,13
0x27,0
0x28,3
0x29,0
0x2a,7
0x2b,0
0x2c,9
0x2d,0
0x2e,5
0x2f,0
0x30,35
0x31,0
0x32,17
0x33,0
0x34,7
0x35,0
0x36,8
0x37,0
0x38,10
0x39,0
0x3a,8
0x3b,0
0x3c,7
0x3d,0
0x3e,3
0x3f,0
0x40,138
0x41,0
0x42,10
0x43,109
0x44,242
0x45,260
0x46,31
0x47,16
0x48,15
0x49,21
0x4a,29
0x4b,7
0x4c,8
0x4d,0
0x4e,14
0x4f,18
0x50,19
0x51,0
0x52,28
0x53,5
0x54,15
0x55,4
0x56,19
0x57,1
0x58,8
0x59,2
0x5a,7
0x5b,5
0x5c,9
0x5d,0
0x5e,9
0x5f,5
0x60,15
0x61,6
0x62,12
0x63,3
0x64,17
0x65,14
0x66,29
0x67,16
0x68,25
0x69,4
0x6a,9
0x6b,3
0x6c,28
0x6d,8
0x6e,16
0x6f,2
0x70,8
0x71,19
0x72,18
0x73,15
0x74,32
0x75,11
0x76,32
0x77,8
0x78,10
0x79,8
0x7a,16
0x7b,8
0x7c,13
0x7d,12
0x7e,11
0x7f,1
0x80,13
0x81,1
0x82,5
0x83,1
0x84,13
0x85,6
0x86,8
0x87,8
0x88,18
0x89,10
0x8a,79
0x8b,18
0x8c,20
0x8d,6
0x8e,12
0x8f,2
0x90,7
0x91,5
0x92,4
0x93,10
0x94,12
0x95,11
0x96,12
0x97,13
0x98,16
0x99,12
0x9a,15
0x9b,12
0x9c,7
0x9d,7
0x9e,21
0x9f,15
0xa0,14
0xa1,8
0xa2,8
0xa3,0
0xa4,8
0xa5,0
0xa6,5
0xa7,0
0xa8,9
0xa9,0
0xaa,11
0xab,1
0xac,10
0xad,0
0xae,8
0xaf,5
0xb0,13
0xb1,8
0xb2,10
0xb3,9
0xb4,12
0xb5,5
0xb6,9
0xb7,1
0xb8,10
0xb9,0
0xba,1
0xbb,0
0xbc,29
0xbd,0
0xbe,8
0xbf,0
0xc0,6
0xc1,0
0xc2,9
0xc3,0
0xc4,4
0xc5,0
0xc6,1
0xc7,0
0xc8,5
0xc9,0
0xca,15
0xcb,0
0xcc,5
0xcd,0
0xce,11
0xcf,0
0xd0,16
0xd1,0
0xd2,7
0xd3,0
0xd4,8
0xd5,0
0xd6,6
0xd7,0
0xd8,5
0xd9,0
0xda,26
0xdb,0
0xdc,7
0xdd,0
0xde,19
0xdf,0
0xe0,11
0xe1,0
0xe2,37
0xe3,0
0xe4,51
0xe5,0
0xe6,6
0xe7,0
0xe8,10
0xe9,0
0xea,18
0xeb,0
0xec,18
0xed,0
0xee,8
0xef,0
0xf0,31
0xf1,0
0xf2,6
0xf3,0
0xf4,20
0xf5,0
0xf6,5
0xf7,0
0xf8,4
0xf9,0
0xfa,6
0xfb,0
0xfc,17
0xfd,0
0xfe,5
0xff,0
