Connected to: /dev/ttyUSB0
Trial: 0
Correct , 19200 , 200 , 7.67370796204
Correct , 19200 , 400 , 15.5090401173
Correct , 19200 , 600 , 23.1674721241
Correct , 19200 , 800 , 30.863932848
Correct , 19200 , 1000 , 38.6144709587
Incorrect , 19200 , 1 , 0.0384678840637
Incorrect , 19200 , 200 , 7.77601790428
Incorrect , 19200 , 400 , 15.4409370422
Incorrect , 19200 , 600 , 23.1846261024
Incorrect , 19200 , 800 , 30.8839559555
Incorrect , 19200 , 1000 , 38.6781589985
Trial:  1
Correct , 19200 , 1 , 0.0381908416748
Correct , 19200 , 200 , 7.72539591789
Correct , 19200 , 400 , 15.4340920448
Correct , 19200 , 600 , 23.081430912
Correct , 19200 , 800 , 30.8940410614
Correct , 19200 , 1000 , 38.5586769581
Incorrect , 19200 , 1 , 0.0387790203094
Incorrect , 19200 , 200 , 7.68640708923
Incorrect , 19200 , 400 , 15.4653191566
Incorrect , 19200 , 600 , 23.3162078857
Incorrect , 19200 , 800 , 30.9245080948
Incorrect , 19200 , 1000 , 38.6826531887
Trial:  2
Correct , 19200 , 1 , 0.0372447967529
Correct , 19200 , 200 , 7.64747405052
Correct , 19200 , 400 , 15.4410128593
Correct , 19200 , 600 , 23.1885778904
Correct , 19200 , 800 , 30.9879181385
Correct , 19200 , 1000 , 38.4756858349
Incorrect , 19200 , 1 , 0.0358369350433
Incorrect , 19200 , 200 , 7.6605360508
Incorrect , 19200 , 400 , 15.4021420479
Incorrect , 19200 , 600 , 23.1432580948
Incorrect , 19200 , 800 , 30.9404189587
Incorrect , 19200 , 1000 , 38.5494909286
Trial:  3
Correct , 19200 , 1 , 0.040914773941
Correct , 19200 , 200 , 7.65576505661
Correct , 19200 , 400 , 15.5489878654
Correct , 19200 , 600 , 23.1524870396
Correct , 19200 , 800 , 30.8028709888
Correct , 19200 , 1000 , 38.4437448978
Incorrect , 19200 , 1 , 0.036337852478
Incorrect , 19200 , 200 , 7.76703596115
Incorrect , 19200 , 400 , 15.3409209251
Incorrect , 19200 , 600 , 23.0007100105
Incorrect , 19200 , 800 , 30.740473032
Incorrect , 19200 , 1000 , 38.488173008
Trial:  4
Correct , 19200 , 1 , 0.0429990291595
Correct , 19200 , 200 , 7.63189101219
Correct , 19200 , 400 , 15.2724881172
